consituency,consituency_no,leading_cand,leading_party,trailing_cand,trailing_party,margin,status
Shrawasti,290,MOHD. RAMZAN,Samajwadi Party,RAM FERAN,Bharatiya Janata Party,560,Counting In Progress
Sidhauli,152,HARGOVIND BHARGAVA,Bahujan Samaj Party,MANISH RAWAT,Samajwadi Party,2510,Result Declared
Sikanderpur,359,SANJAY YADAV,Bharatiya Janata Party,ZIAUDDIN RIZWI,Samajwadi Party,23548,Result Declared
Sikandra,207,MATHURA PRASAD PAL,Bharatiya Janata Party,MAHENDRA KATIYAR (BABLU),Bahujan Samaj Party,38103,Result Declared
Sikandra Rao,80,YASHPAL SINGH CHAUHAN,Samajwadi Party,BIRENDRA SINGH RANA,Bharatiya Janata Party,648,Counting In Progress
Sikandrabad,64,BIMLA SINGH SOLANKI,Bharatiya Janata Party,MOHAMMAD IMRAN,Bahujan Samaj Party,22401,Counting In Progress
Sirathu,251,SHEETLA PRASAD,Bharatiya Janata Party,VACHASPATI,Samajwadi Party,26203,Result Declared
Sirsaganj,99,HARIOM YADAV,Samajwadi Party,JAIVEER SINGH,Bharatiya Janata Party,10676,Result Declared
Sishamau,213,HAZI IRFAN SOLANKI,Samajwadi Party,SURESH AWASTHI,Bharatiya Janata Party,5826,Result Declared
Siswa,317,PREMSAGAR PATEL,Bharatiya Janata Party,SHIVENDRA SINGH ALIAS SHIVBABU,Samajwadi Party,68186,Result Declared
Sitapur,146,RAKESH RATHORE,Bharatiya Janata Party,RADHEY SHYAM JAISWAL,Samajwadi Party,24061,Counting In Progress
Siwalkhas,43,JITENDRA PAL SINGH (BILLU),Bharatiya Janata Party,GHULAM MOHAMMAD,Samajwadi Party,11421,Result Declared
Soraon,255,JAMUNA PRASAD,Apna Dal (Soneylal),GEETA DEVI,Bahujan Samaj Party,17735,Result Declared
SRI NAGAR (SC),140,MANJU TYAGI,Bharatiya Janata Party,MEERA BANO,Samajwadi Party,54939,Result Declared
Suar,34,MOHAMMAD ABDULLAH AZAM KHAN,Samajwadi Party,LAXMI SAINI,Bharatiya Janata Party,53099,Counting In Progress
Sultanpur,188,SURYA BHAN SINGH,Bharatiya Janata Party,MUJEEB AHMAD,Bahujan Samaj Party,32393,Result Declared
Syana,66,DEVENDRA,Bharatiya Janata Party,DILNAWAZ KHAN,Bahujan Samaj Party,65816,Counting In Progress
Tamkuhi Raj,331,AJAY KUMAR LALLU,Indian National Congress,JAGADISH MISHRA  ALIAS  BALTI BABA,Bharatiya Janata Party,18114,Counting In Progress
Tanda,278,SANJU DEVI,Bharatiya Janata Party,AZEEMUL HAQ PAHALWAN,Samajwadi Party,1725,Counting In Progress
Tarabganj,299,PREM NARAYAN PANDEY,Bharatiya Janata Party,VINOD KUMAR ALIS PANDIT SINGH,Samajwadi Party,38422,Counting In Progress
Thakurdwara,26,NAVAB JAN,Samajwadi Party,RAJPAL SINGH CHAUHAN,Bharatiya Janata Party,13409,Result Declared
Thana Bhawan,9,SURESH KUMAR,Bharatiya Janata Party,ABDUL WARIS KHAN,Bahujan Samaj Party,16817,Result Declared
Tilhar,133,ROSHAN LAL VERMA,Bharatiya Janata Party,KUNWAR JITIN PRASADA,Indian National Congress,5705,Result Declared
Tiloi,178,MAYANKESHWAR SHARAN SINGH,Bharatiya Janata Party,MOHD. SAOOD,Bahujan Samaj Party,42840,Counting In Progress
